image_path,folder_name,predicted_class,probability,actual_class
dataset\ImageNet-Mini\images\n01440764\ILSVRC2012_val_00009111.JPEG,n01440764,0,0.8558774590492249,0
dataset\ImageNet-Mini\images\n01440764\ILSVRC2012_val_00030740.JPEG,n01440764,0,0.6508771777153015,0
dataset\ImageNet-Mini\images\n01440764\ILSVRC2012_val_00046252.JPEG,n01440764,0,0.679883599281311,0
dataset\ImageNet-Mini\images\n01443537\ILSVRC2012_val_00000994.JPEG,n01443537,1,0.8688548803329468,1
dataset\ImageNet-Mini\images\n01443537\ILSVRC2012_val_00002241.JPEG,n01443537,1,0.09543933719396591,1
dataset\ImageNet-Mini\images\n01443537\ILSVRC2012_val_00020822.JPEG,n01443537,1,0.8237491846084595,1
dataset\ImageNet-Mini\images\n01484850\ILSVRC2012_val_00014467.JPEG,n01484850,2,0.622184693813324,2
dataset\ImageNet-Mini\images\n01484850\ILSVRC2012_val_00019409.JPEG,n01484850,2,0.42059326171875,2
dataset\ImageNet-Mini\images\n01484850\ILSVRC2012_val_00027514.JPEG,n01484850,2,0.3997754454612732,2
dataset\ImageNet-Mini\images\n01484850\ILSVRC2012_val_00030127.JPEG,n01484850,2,0.9348874092102051,2
dataset\ImageNet-Mini\images\n01484850\ILSVRC2012_val_00039445.JPEG,n01484850,2,0.9047439098358154,2
dataset\ImageNet-Mini\images\n01491361\ILSVRC2012_val_00007875.JPEG,n01491361,3,0.6795209050178528,3
dataset\ImageNet-Mini\images\n01491361\ILSVRC2012_val_00015631.JPEG,n01491361,4,0.2560635209083557,3
dataset\ImageNet-Mini\images\n01491361\ILSVRC2012_val_00026001.JPEG,n01491361,3,0.36526259779930115,3
dataset\ImageNet-Mini\images\n01494475\ILSVRC2012_val_00012546.JPEG,n01494475,792,0.24487802386283875,4
dataset\ImageNet-Mini\images\n01494475\ILSVRC2012_val_00016259.JPEG,n01494475,4,0.8965611457824707,4
dataset\ImageNet-Mini\images\n01494475\ILSVRC2012_val_00027160.JPEG,n01494475,4,0.5087741613388062,4
dataset\ImageNet-Mini\images\n01494475\ILSVRC2012_val_00034178.JPEG,n01494475,3,0.2992110848426819,4
dataset\ImageNet-Mini\images\n01494475\ILSVRC2012_val_00039588.JPEG,n01494475,4,0.49093878269195557,4
dataset\ImageNet-Mini\images\n01496331\ILSVRC2012_val_00007569.JPEG,n01496331,5,0.9711939096450806,5
dataset\ImageNet-Mini\images\n01496331\ILSVRC2012_val_00017196.JPEG,n01496331,5,0.301580011844635,5
dataset\ImageNet-Mini\images\n01496331\ILSVRC2012_val_00037260.JPEG,n01496331,5,0.14753474295139313,5
dataset\ImageNet-Mini\images\n01498041\ILSVRC2012_val_00013655.JPEG,n01498041,6,0.4397428333759308,6
dataset\ImageNet-Mini\images\n01498041\ILSVRC2012_val_00032394.JPEG,n01498041,6,0.6336144804954529,6
dataset\ImageNet-Mini\images\n01498041\ILSVRC2012_val_00036118.JPEG,n01498041,254,0.1578032672405243,6
dataset\ImageNet-Mini\images\n01514668\ILSVRC2012_val_00012484.JPEG,n01514668,80,0.24604018032550812,7
dataset\ImageNet-Mini\images\n01514668\ILSVRC2012_val_00019101.JPEG,n01514668,8,0.41419848799705505,7
dataset\ImageNet-Mini\images\n01514668\ILSVRC2012_val_00048952.JPEG,n01514668,8,0.6986574530601501,7
dataset\ImageNet-Mini\images\n01514859\ILSVRC2012_val_00014917.JPEG,n01514859,8,0.5295842885971069,8
dataset\ImageNet-Mini\images\n01514859\ILSVRC2012_val_00037719.JPEG,n01514859,8,0.12245489656925201,8
dataset\ImageNet-Mini\images\n01514859\ILSVRC2012_val_00048242.JPEG,n01514859,8,0.9574288725852966,8
dataset\ImageNet-Mini\images\n01518878\ILSVRC2012_val_00008294.JPEG,n01518878,9,0.9545839428901672,9
dataset\ImageNet-Mini\images\n01518878\ILSVRC2012_val_00034316.JPEG,n01518878,9,0.6234471797943115,9
dataset\ImageNet-Mini\images\n01518878\ILSVRC2012_val_00048600.JPEG,n01518878,838,0.08010489493608475,9
dataset\ImageNet-Mini\images\n01530575\ILSVRC2012_val_00000651.JPEG,n01530575,10,0.6425414085388184,10
dataset\ImageNet-Mini\images\n01530575\ILSVRC2012_val_00002023.JPEG,n01530575,10,0.9677007794380188,10
dataset\ImageNet-Mini\images\n01530575\ILSVRC2012_val_00002191.JPEG,n01530575,10,0.9276241064071655,10
dataset\ImageNet-Mini\images\n01530575\ILSVRC2012_val_00045172.JPEG,n01530575,13,0.3379915952682495,10
dataset\ImageNet-Mini\images\n01531178\ILSVRC2012_val_00001274.JPEG,n01531178,11,0.9514259099960327,11
dataset\ImageNet-Mini\images\n01531178\ILSVRC2012_val_00025151.JPEG,n01531178,11,0.859180212020874,11
dataset\ImageNet-Mini\images\n01531178\ILSVRC2012_val_00029581.JPEG,n01531178,11,0.48099997639656067,11
dataset\ImageNet-Mini\images\n01531178\ILSVRC2012_val_00048710.JPEG,n01531178,11,0.9168629050254822,11
dataset\ImageNet-Mini\images\n01532829\ILSVRC2012_val_00013456.JPEG,n01532829,966,0.06690820306539536,12
